Model,Early_IC,Late_IC,Difference
Ridge,0.054363141644682846,0.06976006991744149,0.015396928272758646
NN_32,0.03717224667758982,0.058510998777639815,0.02133875210005
NN_64_32,0.04804472613502088,0.06598368495387308,0.0179389588188522
NN_128_64_32,0.04660405445226619,0.06732220790795031,0.02071815345568412
