Model,Avg_Long_Turnover,Avg_Short_Turnover,Avg_Total_Turnover,Months
OLS_FamaMacBeth,0.2379203172757161,0.22124596740584365,0.22958314234077987,147
Ridge,0.22628211644569876,0.22096314450993132,0.223622630477815,147
Lasso,0.1864472870399823,0.18505876325098017,0.18575302514548125,147
NN_64_32,0.4343177829797582,0.6323914343460033,0.5333546086628806,147
