Model,Ann_Return,Ann_Volatility,Sharpe_Ratio,Max_Drawdown,Win_Rate,Months,Regime
OLS_FamaMacBeth,0.34632497909151827,0.1348080891357899,2.5690222397757676,-0.03914994742822772,0.8611111111111112,36,BULL
Ridge,0.3371272706400947,0.12907752471798248,2.6118200777143326,-0.04189502636986118,0.8055555555555556,36,BULL
Lasso,0.3487259548984205,0.1384712200431008,2.5184002480073144,-0.05204443543014904,0.8333333333333334,36,BULL
NN_64_32,0.30044686893878925,0.10724399709671346,2.8015262119318805,-0.04658026324726754,0.8055555555555556,36,BULL
OLS_FamaMacBeth,0.28476464025808035,0.1420438101034526,2.0047662763388425,-0.1151955273167386,0.7522935779816514,109,NEUTRAL
Ridge,0.3173781643795852,0.15343283485859655,2.0685152866534757,-0.10731602879847552,0.7614678899082569,109,NEUTRAL
Lasso,0.2758698981679467,0.1567500453890496,1.759935044887832,-0.18367918540092784,0.6972477064220184,109,NEUTRAL
NN_64_32,0.26884875142900533,0.12607401457170403,2.132467601212927,-0.057458635012313915,0.7706422018348624,109,NEUTRAL
OLS_FamaMacBeth,-0.32984410737461123,0.10634646501535606,-3.1015991676543537,-0.08783810379676714,0.3333333333333333,3,CRASH
Ridge,-0.33415946826933807,0.07947068420116218,-4.20481428627805,-0.07184186549995764,0.0,3,CRASH
Lasso,0.057743783555943284,0.2049682258508687,0.28172065848858274,-0.04382160294751839,0.3333333333333333,3,CRASH
NN_64_32,0.4537214504349354,0.22849713342885172,1.9856767725106401,-0.0026464022761688113,0.6666666666666666,3,CRASH
