Feature,FM_abs_tstat,Lasso_abs_coef,NN_perm_importance
VOLATILITY_90D,0.5507066139061618,1.0,1.0
OPER_MARGIN,0.3864330130016959,0.06435082816709775,0.38139950195258926
CUR_MKT_CAP,1.0,0.4633473706986776,0.327993538800218
BETA_RAW_OVERRIDABLE,0.009836065573770496,0.0,0.29830793329834804
VOLUME_AVG_30D,0.49383832673827033,0.14710035639270017,0.26424142304133136
GROSS_MARGIN,0.22283776144714532,0.0,0.2539198950644552
PX_TO_SALES_RATIO,0.263312605992086,0.0,0.2260313656245309
EARN_YLD,0.08682871678914643,0.0,0.2163677168895766
PE_RATIO,0.13352176370830982,0.0,0.2057399072291818
CUR_RATIO,0.16992651215375923,0.0,0.2004954512322589
RETURN_COM_EQY,0.05404183154324478,0.0,0.19858609991658793
RETURN_ON_ASSET,0.0647823629169022,0.0,0.184766582136439
PX_TO_FREE_CASH_FLOW,0.26794799321650653,0.02256081860276291,0.18284658535341652
CURRENT_EV_TO_T12M_EBITDA,0.007574901074053139,0.0,0.18258610384845464
TOT_DEBT_TO_TOT_EQY,0.036291690220463545,0.0,0.18238050953435286
EQY_DVD_YLD_12M,0.0,0.0,0.16338970131600927
REVERSAL_3M,0.19061616732617304,0.22373548497588658,0.1016192971809643
MOMENTUM_12_1,0.24918032786885252,0.0,0.02323521443404982
HIGH_52W_RATIO,0.15432447710570946,0.0,0.0
