Model,Mean_AUC,Mean_Accuracy
Logistic (C=0.01),0.5440087003004483,0.5197091081520471
Logistic (C=0.1),0.5440235482331676,0.5205652332064288
Logistic (C=1.0),0.5440038887354138,0.5206175576281182
Logistic (C=10.0),0.5439992551462398,0.5206175576281182
