Model,Mean_IC,IC_Std,IC_IR,IC_t_stat,n_months,Hit_Rate
OLS_FamaMacBeth,0.0601816315409732,0.11071355336356731,0.5435796224816796,6.612931519730425,148,0.7094594594594594
Ridge,0.06232730032823605,0.11864989279082477,0.5253043122265327,6.39060277483126,148,0.7297297297297297
Lasso,0.05116695875056606,0.12921301076380867,0.3959892153902,4.817416723555398,148,0.6418918918918919
NN_64_32,0.05772124823423025,0.10212063818724494,0.5652260821989237,6.876272067893748,148,0.7364864864864865
