Model,Mean_IC,IC_Std,IC_Hit_Rate,Time_sec
Ridge,0.06232730032823605,0.11864989279082477,0.7297297297297297,2.096733808517456
NN_32,0.04799637710632581,0.09205605688105019,0.7162162162162162,270.11398792266846
NN_64_32,0.05772124823423025,0.10212063818724494,0.7364864864864865,309.37512016296387
NN_128_64_32,0.05928684689042318,0.10109998701548675,0.722972972972973,3710.1180770397186
