Model,Cores,Time_sec,Mean_IC,Hit_Rate
FamaMacBeth,4,7.472651720046997,0.07597426173219901,0.7297297297297297
Ridge,4,8.715379238128662,0.06332899095005101,0.7364864864864865
Lasso,4,184.85226678848267,0.056128307226903984,0.6418918918918919
NN_64_32,4,350.28246784210205,0.027261715403217774,0.5743243243243243
