Model,Q1,Q2,Q3,Q4,Q5,Spread,Spread_t_stat,Monotonic
OLS_FamaMacBeth,0.024018775651237383,0.01310428927614639,0.010065342240038693,0.007073646591030605,0.00603867382696249,0.017980101824274897,7.261420629512568,True
Ridge,0.02408628525507774,0.01325682107779717,0.009937522154265454,0.007587444927825174,0.005449176221519712,0.01863710903355803,7.2642610633129925,True
Lasso,0.02365881938309077,0.01258124327617541,0.009920554643297516,0.007664448954104426,0.006475686481451613,0.01718313290163916,6.331696530021697,True
NN_64_32,0.023639107600687593,0.012084013978698275,0.009548432466830488,0.00938633795985114,0.005672140634300285,0.017966966966387308,8.16205382246931,True
